,appearences,assists,blocks,captain,dispossesed,goals,hit_post,injured,inside_box_saves,interceptions,lineups,minutes,number,player_id,position_id,redcards,saves,substitute_in,substitute_out,substitutes_on_bench,tackles,yellowcards,yellowred
6,4,0,,0,,1,,FALSE,,,2,186,,189804,2,0,,2,0,2,,0,0
7,4,0,,0,,0,,FALSE,,,4,360,,82775,2,0,,0,0,0,,0,0
8,3,0,,0,,0,,FALSE,,,3,267,,7035140,2,0,,0,1,0,,0,0
9,2,0,,0,,0,,FALSE,,,2,175,,7035141,2,0,,0,1,0,,2,0
10,2,0,,0,,1,,FALSE,,,2,180,,189494,3,0,,0,0,0,,0,0
11,3,0,,0,,0,,FALSE,,,2,158,,189412,3,0,,1,1,1,,0,0
12,0,0,,0,,0,,FALSE,,,0,0,,190265,3,0,,0,0,1,,0,0
13,2,0,,0,,0,,FALSE,,,0,13,,55064,3,0,,2,0,4,,0,0
14,1,0,,0,,0,,FALSE,,,0,5,,82761,3,0,,1,0,2,,0,0
15,0,0,,0,,0,,FALSE,,,0,0,,190656,3,0,,0,0,2,,0,0
16,4,0,,0,,0,,FALSE,,,3,268,,6972582,3,0,,1,2,1,,0,0
17,4,0,,0,,1,,FALSE,,,4,360,,235,4,0,,0,0,0,,0,0
18,3,0,,0,,0,,FALSE,,,1,140,,90600,4,0,,2,1,2,,0,0
19,4,0,,0,,1,,FALSE,,,4,330,,189481,4,0,,0,2,0,,1,0
20,2,0,,0,,0,,FALSE,,,2,169,,83213,4,0,,0,1,2,,0,0
21,3,0,,0,,0,,FALSE,,,3,266,,82934,4,0,,0,1,0,,0,0
0,4,0,,0,,0,,FALSE,,,4,360,,112547,1,0,,0,0,0,,0,0
1,0,0,,0,,0,,FALSE,,,0,0,,7035111,1,0,,0,0,4,,0,0
2,4,0,,0,,0,,FALSE,,,4,360,,112830,2,0,,0,0,0,,2,0
